id,ic,ev,label
chr1_f_c100009,24,0,No
chr1_f_c100032,2,0,No
chr1_f_c100047,2,1.5,Yes
chr1_f_c100168,12.7,0,No
chr1_f_c100255,1,0,No
chr1_f_c100260,1,0,No
chr1_f_c100266,3,0,No
chr1_f_c10028,1.7,0,No
chr1_f_c10037,1.7,3,Yes
chr1_f_c100611,1.3,0,No
chr1_f_c100626,2.3,0,No
chr1_f_c100661,2,0,No
chr1_f_c100672,4.3,0,No
chr1_f_c1007,2.7,0,No
chr1_f_c100972,1,0,No
chr1_f_c100999,4,0,No
chr1_f_c101063,1.7,0,No
chr1_f_c101106,1,0.5,No
chr1_f_c101209,4,0,No
chr1_f_c101278,1.3,0,No
chr1_f_c10143,1.7,0,No
chr1_f_c101552,4,0,No
chr1_f_c101573,1,0,No
chr1_f_c101720,138.7,9.5,Yes
chr1_f_c101824,1,0,No
chr1_f_c101827,1,1.5,Yes
chr1_f_c101840,1.3,0,No
chr1_f_c101973,1,0,No
chr1_f_c101991,1.7,0,No
chr1_f_c102004,2.3,0,No
chr1_f_c102110,2.7,0,No
chr1_f_c102143,23.3,0,No
chr1_f_c102205,1,0,No
chr1_f_c102239,1,0,No
chr1_f_c102252,1,0,No
chr1_f_c102265,2.7,0,No
chr1_f_c102280,3,0,No
chr1_f_c102890,1,0,No
chr1_f_c102975,1,0,No
chr1_f_c103060,1,0,No
chr1_f_c103093,2,0,No
chr1_f_c103103,1,0,No
chr1_f_c103110,3.3,0,No
chr1_f_c103118,1,2,Yes
chr1_f_c103125,23.7,0,No
chr1_f_c10318,1,0,No
chr1_f_c10320,2,0,No
chr1_f_c103283,6.7,0,No
chr1_f_c103540,1,0,No
chr1_f_c103543,1.3,0,No
chr1_f_c103584,1.3,2,Yes
chr1_f_c10359,3.3,0,No
chr1_f_c103641,159.7,15,Yes
chr1_f_c103645,2.3,0,No
chr1_f_c1037,2,0,No
chr1_f_c103910,1.3,0,No
chr1_f_c1040,24.7,0,No
chr1_f_c104070,17,0.5,No
chr1_f_c104111,3,0,No
chr1_f_c104230,1.7,0,No
chr1_f_c104259,1,0,No
chr1_f_c104367,3,0,No
chr1_f_c104408,29.3,0,No
chr1_f_c104438,2,0,No
chr1_f_c104489,2.7,0,No
