,ic,ev,label
chr1_f_c100009,459,0,NO
chr1_f_c100168,251,0,NO
chr1_f_c100266,97,2,NO
chr1_f_c10037,69,55,YES
chr1_f_c100626,87,1,NO
chr1_f_c100661,58,0,NO
chr1_f_c101209,48,0,NO
chr1_f_c101552,78,0,NO
chr1_f_c101720,4607,373,YES
chr1_f_c101840,141,0,NO
chr1_f_c101973,107,0,NO
chr1_f_c102110,67,0,NO
chr1_f_c102143,351,0,NO
chr1_f_c102252,151,0,NO
chr1_f_c102265,58,0,NO
chr1_f_c102855,49,6,NO
chr1_f_c102890,58,0,NO
chr1_f_c103060,75,0,NO
chr1_f_c103103,125,0,NO
chr1_f_c103125,797,0,NO
chr1_f_c103283,181,0,NO
chr1_f_c103543,52,0,NO
chr1_f_c10359,285,3,NO
chr1_f_c103641,5582,342,YES
chr1_f_c1040,167,2,NO
chr1_f_c104070,870,4,NO
chr1_f_c104076,47,0,NO
chr1_f_c104111,66,0,NO
chr1_f_c104367,68,1,NO
chr1_f_c104408,882,6,NO
chr1_f_c104438,49,0,NO
chr1_f_c10453,93,2,NO
chr1_f_c104750,258,0,NO
chr1_f_c104856,51,0,NO
chr1_f_c105074,828,3,NO
chr1_f_c105229,96,0,NO
chr1_f_c105400,132,59,YES
chr1_f_c105551,64,37,YES
chr1_f_c105661,52,0,NO
chr1_f_c105745,25344,528,YES
chr1_f_c105783,97,1,NO
chr1_f_c105822,111,2,NO
chr1_f_c106043,54,1,NO
chr1_f_c106173,61,0,NO
chr1_f_c106202,245,0,NO
chr1_f_c10627,538,5,NO
chr1_f_c106357,67,0,NO
chr1_f_c106402,52,3,NO
chr1_f_c106589,59,0,NO
chr1_f_c106713,69,0,NO
chr1_f_c106802,49,8,NO
chr1_f_c106940,49,10,NO
chr1_f_c107077,135,0,NO
chr1_f_c107246,75,0,NO
chr1_f_c107358,192,0,NO
chr1_f_c107444,52,0,NO
chr1_f_c108007,2651,0,NO
chr1_f_c108015,417,0,NO
chr1_f_c108037,109,1,NO
chr1_f_c108082,204,1,NO
chr1_f_c108092,55,0,NO
chr1_f_c108239,254,1,NO
chr1_f_c108267,70,1,NO
chr1_f_c108289,49,0,NO
chr1_f_c108463,75,4,NO
chr1_f_c108797,72,1,NO
chr1_f_c108853,60,0,NO
chr1_f_c109114,49,109,YES
chr1_f_c109406,186,0,NO
chr1_f_c109659,62,4,NO
chr1_f_c109856,57,0,NO
chr1_f_c109913,1278,5,NO
chr1_f_c110125,125,0,NO
chr1_f_c110191,157,0,NO
chr1_f_c110207,94,587,YES
chr1_f_c110295,117,0,NO
chr1_f_c110344,55,0,NO
chr1_f_c110514,551,5,NO
chr1_f_c110565,51,0,NO
chr1_f_c110624,64,1,NO
chr1_f_c110667,228,0,NO
chr1_f_c110846,61,0,NO
chr1_f_c11094,80,0,NO
chr1_f_c111097,914,0,NO
chr1_f_c111190,984,17,NO
chr1_f_c111205,6765,253,YES
chr1_f_c111216,19111,17203,YES
chr1_f_c111238,6725,247,YES
chr1_f_c111243,19090,17163,YES
chr1_f_c111259,6943,240,YES
chr1_f_c111265,18925,17216,YES
chr1_f_c111285,6546,250,YES
chr1_f_c111292,19110,17150,YES
chr1_f_c111311,6753,281,YES
chr1_f_c111329,3908,1140,YES
chr1_f_c111367,6501,436,YES
chr1_f_c111370,3745,7,NO
chr1_f_c111378,6718,51,YES
chr1_f_c111431,1099,55,YES
chr1_f_c111442,1051,3,NO
chr1_f_c111752,64,0,NO
chr1_f_c111808,63,45,YES
chr1_f_c112009,92,0,NO
chr1_f_c112010,497,1,NO
chr1_f_c11207,81,1,NO
chr1_f_c112155,142,0,NO
chr1_f_c112283,51,6,NO
chr1_f_c112415,56,0,NO
chr1_f_c112420,66,0,NO
chr1_f_c112644,2066,1,NO
chr1_f_c112691,1374,118,YES
chr1_f_c112722,73,0,NO
chr1_f_c112914,53,0,NO
chr1_f_c112934,110,1,NO
chr1_f_c112965,551,0,NO
chr1_f_c113003,813,14,NO
chr1_f_c113133,58,0,NO
chr1_f_c113225,85,1,NO
chr1_f_c113264,689,0,NO
chr1_f_c113300,164,0,NO
chr1_f_c11335,58,1,NO
chr1_f_c113353,344,1,NO
chr1_f_c113361,550,0,NO
chr1_f_c113366,160,0,NO
chr1_f_c113369,82,1,NO
chr1_f_c113420,81,0,NO
chr1_f_c113432,293,2,NO
chr1_f_c113441,86,0,NO
chr1_f_c113931,96,399,YES
chr1_f_c114088,78,0,NO
chr1_f_c114161,84,0,NO
chr1_f_c114236,80,7,NO
chr1_f_c114532,751,0,NO
chr1_f_c114618,176,4,NO
chr1_f_c115005,53,1,NO
chr1_f_c115078,1487,10,NO
chr1_f_c115401,298,0,NO
chr1_f_c115620,5806,380,YES
chr1_f_c115799,121,0,NO
chr1_f_c115806,51,0,NO
chr1_f_c115924,103,2,NO
chr1_f_c116224,2258,4,NO
chr1_f_c116271,83,1,NO
chr1_f_c116303,3389,0,NO
chr1_f_c116473,115,0,NO
chr1_f_c116554,54,0,NO
chr1_f_c116569,64,0,NO
chr1_f_c116632,86,8,NO
chr1_f_c116695,711,16,NO
chr1_f_c11675,57,0,NO
chr1_f_c116776,72,1,NO
chr1_f_c116796,241,0,NO
chr1_f_c116896,67,5,NO
chr1_f_c117082,102,0,NO
chr1_f_c117206,140,1,NO
chr1_f_c117304,48,0,NO
chr1_f_c117318,163,0,NO
chr1_f_c117329,81,1,NO
chr1_f_c117357,66,0,NO
chr1_f_c117582,82,2,NO
chr1_f_c117838,148,0,NO
chr1_f_c117853,50,0,NO
chr1_f_c117876,63,0,NO
chr1_f_c1180,64,0,NO
chr1_f_c118152,48,0,NO
chr1_f_c118283,110,1,NO
chr1_f_c1183,96,5,NO
chr1_f_c118514,144,5,NO
chr1_f_c118576,144,0,NO
chr1_f_c118646,49,0,NO
chr1_f_c118677,69,0,NO
chr1_f_c118816,53,0,NO
chr1_f_c118942,133,0,NO
chr1_f_c119089,63,0,NO
chr1_f_c11931,188,0,NO
chr1_f_c119352,242,2,NO
chr1_f_c119377,490,3,NO
chr1_f_c11939,108,1,NO
chr1_f_c11946,59,0,NO
chr1_f_c119545,594,4,NO
chr1_f_c119772,51,0,NO
chr1_f_c119782,155,0,NO
chr1_f_c119853,69,0,NO
chr1_f_c119887,93,160,YES
chr1_f_c120050,59,0,NO
chr1_f_c120432,122,0,NO
chr1_f_c120443,157,1,NO
chr1_f_c120596,71,0,NO
chr1_f_c12066,619,9,NO
chr1_f_c120731,258,0,NO
chr1_f_c121127,83,9,NO
chr1_f_c121157,98,1,NO
chr1_f_c121277,123,0,NO
chr1_f_c121317,52,0,NO
chr1_f_c12154,51,0,NO
chr1_f_c121919,130,4,NO
chr1_f_c121945,51,0,NO
chr1_f_c122194,154,0,NO
chr1_f_c122453,100,1,NO
chr1_f_c122506,80,1,NO
chr1_f_c122517,184,0,NO
chr1_f_c122607,47,0,NO
chr1_f_c122849,1079,0,NO
chr1_f_c123036,1114,0,NO
chr1_f_c123172,143,0,NO
chr1_f_c123244,55,24,YES
chr1_f_c123362,68,0,NO
chr1_f_c123396,55,7,NO
chr1_f_c123397,70,3,NO
chr1_f_c123484,512,5,NO
chr1_f_c123729,111,0,NO
chr1_f_c123836,309,0,NO
chr1_f_c123852,54,0,NO
chr1_f_c124013,135,3,NO
chr1_f_c124120,70,0,NO
chr1_f_c124142,2100,3,NO
chr1_f_c124210,54,2,NO
chr1_f_c124463,160,3,NO
chr1_f_c124498,117,15,NO
chr1_f_c12480,68,0,NO
chr1_f_c124818,206,1,NO
chr1_f_c125122,126,1,NO
chr1_f_c125197,132,0,NO
chr1_f_c125350,103,0,NO
chr1_f_c125392,127,0,NO
chr1_f_c125447,55,0,NO
chr1_f_c125517,529,1,NO
chr1_f_c125540,177,0,NO
chr1_f_c12594,103,2,NO
chr1_f_c126283,78,0,NO
chr1_f_c126306,917,0,NO
chr1_f_c126408,87,0,NO
chr1_f_c126524,73,0,NO
chr1_f_c126568,271,0,NO
chr1_f_c126904,51,2,NO
chr1_f_c127010,52,0,NO
chr1_f_c127050,86,0,NO
chr1_f_c127164,53,26,YES
chr1_f_c127302,56,0,NO
chr1_f_c12733,426,0,NO
chr1_f_c127365,99,1,NO
chr1_f_c127764,100,0,NO
chr1_f_c127821,121,0,NO
chr1_f_c127883,188,0,NO
chr1_f_c127966,240,0,NO
chr1_f_c128163,1292,0,NO
chr1_f_c128185,54,0,NO
chr1_f_c128212,50,0,NO
chr1_f_c128329,63,3,NO
chr1_f_c128502,153,0,NO
chr1_f_c128667,84,0,NO
chr1_f_c128678,73,0,NO
chr1_f_c128770,88,0,NO
chr1_f_c129036,81,0,NO
chr1_f_c129286,502,5,NO
chr1_f_c129321,57,0,NO
chr1_f_c129360,416,0,NO
chr1_f_c129424,59,0,NO
chr1_f_c13015,294,0,NO
chr1_f_c130412,95,0,NO
chr1_f_c130489,50,0,NO
chr1_f_c130771,302,1,NO
chr1_f_c13081,62,0,NO
chr1_f_c131044,53,0,NO
chr1_f_c131092,82,0,NO
chr1_f_c131152,123,0,NO
chr1_f_c131187,63,0,NO
chr1_f_c131189,58,0,NO
chr1_f_c1316,35117,698,YES
chr1_f_c131827,88,0,NO
chr1_f_c132056,49,0,NO
chr1_f_c132059,56,0,NO
chr1_f_c1321,14151,329,YES
chr1_f_c132429,78,0,NO
chr1_f_c1326,9820,100,YES
chr1_f_c132632,77,0,NO
chr1_f_c132645,59,0,NO
chr1_f_c133200,76,0,NO
chr1_f_c133258,134,0,NO
chr1_f_c133285,81,0,NO
chr1_f_c133465,779,0,NO
chr1_f_c13358,71,0,NO
chr1_f_c13374,873,0,NO
chr1_f_c13400,48,1,NO
chr1_f_c134084,169,1,NO
chr1_f_c134455,320,0,NO
chr1_f_c13459,74,1,NO
chr1_f_c134658,53,0,NO
chr1_f_c134951,163,0,NO
chr1_f_c13499,63,0,NO
chr1_f_c135044,67,1,NO
chr1_f_c135384,318,0,NO
chr1_f_c135484,99,3,NO
chr1_f_c135501,51,0,NO
chr1_f_c135606,65,0,NO
chr1_f_c135648,50,0,NO
chr1_f_c135669,50,0,NO
chr1_f_c136011,51,0,NO
chr1_f_c136109,55,0,NO
chr1_f_c136125,3195,2388,YES
chr1_f_c136357,105,1,NO
chr1_f_c136490,51,0,NO
chr1_f_c136534,89,0,NO
chr1_f_c136562,167,0,NO
chr1_f_c136606,48,0,NO
chr1_f_c136736,197,0,NO
chr1_f_c136758,66,1,NO
chr1_f_c136806,59,0,NO
chr1_f_c136847,63,2,NO
chr1_f_c136975,145,2,NO
chr1_f_c137031,48,2,NO
chr1_f_c137036,91,0,NO
chr1_f_c13711,51,3,NO
chr1_f_c137165,418,0,NO
chr1_f_c137250,377,0,NO
chr1_f_c137564,96,0,NO
chr1_f_c137696,264,2,NO
chr1_f_c13786,134,2,NO
chr1_f_c137939,54,0,NO
chr1_f_c138204,31174,6512,YES
chr1_f_c138412,54,0,NO
chr1_f_c138437,208,0,NO
chr1_f_c138443,191,26,YES
chr1_f_c138725,47,1,NO
chr1_f_c138819,2101,1,NO
chr1_f_c138904,48,0,NO
chr1_f_c138936,272,0,NO
chr1_f_c138980,897,0,NO
chr1_f_c13900,75,0,NO
chr1_f_c139030,1351,25,YES
chr1_f_c139098,217,0,NO
chr1_f_c139184,470,25,YES
chr1_f_c139187,76,0,NO
chr1_f_c139445,86,0,NO
chr1_f_c13945,20383,22,YES
chr1_f_c139511,3829,8,NO
chr1_f_c139630,122,3,NO
chr1_f_c139729,271,0,NO
chr1_f_c139783,60,0,NO
chr1_f_c139945,66,0,NO
chr1_f_c140305,61,0,NO
chr1_f_c140906,177,6,NO
chr1_f_c140907,63,1,NO
chr1_f_c141062,80,0,NO
chr1_f_c141186,70,0,NO
chr1_f_c141446,52,1,NO
chr1_f_c141618,76,0,NO
chr1_f_c14163,433,0,NO
chr1_f_c141921,151,1,NO
chr1_f_c141952,68,0,NO
chr1_f_c141955,54,0,NO
chr1_f_c142231,29816,1927,YES
chr1_f_c143014,77,0,NO
chr1_f_c14307,48,0,NO
chr1_f_c143110,82,4,NO
chr1_f_c143133,149,504,YES
chr1_f_c143542,192,0,NO
chr1_f_c143885,78,0,NO
chr1_f_c144031,973,0,NO
chr1_f_c144073,69,1,NO
chr1_f_c144389,728,0,NO
chr1_f_c144517,102,0,NO
chr1_f_c144718,536,0,NO
chr1_f_c144733,84,0,NO
chr1_f_c144828,351,1,NO
chr1_f_c14504,3468,2,NO
chr1_f_c145182,268,0,NO
chr1_f_c145292,167,0,NO
chr1_f_c145367,229,1,NO
chr1_f_c14537,48,0,NO
chr1_f_c145606,57,0,NO
chr1_f_c145690,2627,16,NO
chr1_f_c145737,106,4,NO
chr1_f_c145842,1085,4,NO
chr1_f_c145957,52,0,NO
chr1_f_c146272,56,0,NO
chr1_f_c146372,76,0,NO
chr1_f_c146601,74,0,NO
chr1_f_c146726,132,2,NO
chr1_f_c146749,101,0,NO
chr1_f_c146807,114,0,NO
chr1_f_c147054,128,0,NO
chr1_f_c147167,62,0,NO
chr1_f_c14720,91,1,NO
chr1_f_c147280,73,0,NO
chr1_f_c147292,166,0,NO
chr1_f_c147378,359,0,NO
chr1_f_c147431,116,0,NO
chr1_f_c147500,59,0,NO
chr1_f_c147598,72,0,NO
chr1_f_c147752,78,0,NO
chr1_f_c147925,569,0,NO
chr1_f_c148018,77,0,NO
chr1_f_c148266,718,0,NO
chr1_f_c14829,123,0,NO
chr1_f_c148389,167,0,NO
chr1_f_c148539,613,0,NO
chr1_f_c148540,173,0,NO
chr1_f_c148825,137,0,NO
chr1_f_c148858,59,0,NO
chr1_f_c149170,63,0,NO
chr1_f_c14926,100,0,NO
chr1_f_c149290,146,0,NO
chr1_f_c14938,89,0,NO
chr1_f_c149430,91,2,NO
chr1_f_c149644,53,1,NO
chr1_f_c149787,981,0,NO
chr1_f_c149792,76,0,NO
chr1_f_c149976,232,4,NO
chr1_f_c150212,49,0,NO
